127.0.0.1, 2018-11-29 00:27:16, GET, /HawkinsPhotography/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-29 00:27:16, GET, /HawkinsPhotography/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:27:16, GET, /HawkinsPhotography/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-29 00:27:16, GET, /HawkinsPhotography/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-29 00:27:16, GET, /HawkinsPhotography/static/js/marked.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:27:16, GET, /HawkinsPhotography/static/images/milkyway.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:27:16, GET, /HawkinsPhotography/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:27:16, GET, /HawkinsPhotography/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:27:17, GET, /favicon.ico, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-11-29 00:28:28, GET, /, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-11-29 00:28:28, GET, /HawkinsPhotography/static/css/stupid.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:28:28, GET, /HawkinsPhotography/static/css/custom.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:28:28, GET, /HawkinsPhotography/static/css/calendar.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-11-29 00:28:28, GET, /HawkinsPhotography/static/css/web2py.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-11-29 00:28:28, GET, /HawkinsPhotography/static/css/myapp.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-11-29 00:28:28, GET, /HawkinsPhotography/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-11-29 00:28:28, GET, /HawkinsPhotography/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-29 00:28:28, GET, /HawkinsPhotography/static/js/jquery.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-29 00:28:28, GET, /HawkinsPhotography/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-29 00:28:28, GET, /HawkinsPhotography/static/js/marked.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-11-29 00:28:28, GET, /HawkinsPhotography/static/images/milkyway.jpg, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:28:28, GET, /HawkinsPhotography/static/js/vue.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:28:28, GET, /HawkinsPhotography/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:28:29, GET, /favicon.ico, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-11-29 00:28:53, GET, /, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-11-29 00:28:53, GET, /HawkinsPhotography/static/css/stupid.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:28:53, GET, /HawkinsPhotography/static/css/custom.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-11-29 00:28:53, GET, /HawkinsPhotography/static/css/calendar.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-11-29 00:28:53, GET, /HawkinsPhotography/static/css/web2py.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-11-29 00:28:53, GET, /HawkinsPhotography/static/css/myapp.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-11-29 00:28:53, GET, /HawkinsPhotography/static/js/jquery.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-11-29 00:28:53, GET, /HawkinsPhotography/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-11-29 00:28:53, GET, /HawkinsPhotography/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-29 00:28:53, GET, /HawkinsPhotography/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-29 00:28:53, GET, /HawkinsPhotography/static/js/marked.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:28:53, GET, /HawkinsPhotography/static/images/milkyway.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:28:53, GET, /HawkinsPhotography/static/js/vue.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-11-29 00:28:53, GET, /HawkinsPhotography/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-11-29 00:28:54, GET, /favicon.ico, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-11-29 00:29:44, GET, /, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-11-29 00:29:44, GET, /HawkinsPhotography/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:29:44, GET, /HawkinsPhotography/static/css/custom.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:29:44, GET, /HawkinsPhotography/static/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-29 00:29:44, GET, /HawkinsPhotography/static/css/web2py.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-29 00:29:44, GET, /HawkinsPhotography/static/css/myapp.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:29:44, GET, /HawkinsPhotography/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:29:44, GET, /HawkinsPhotography/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:29:44, GET, /HawkinsPhotography/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:29:44, GET, /HawkinsPhotography/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:29:44, GET, /HawkinsPhotography/static/js/marked.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:29:44, GET, /HawkinsPhotography/static/images/milkyway.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:29:44, GET, /HawkinsPhotography/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:29:44, GET, /HawkinsPhotography/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:29:45, GET, /favicon.ico, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-11-29 00:33:40, GET, /, HTTP/1.1, 200, 0.276000
127.0.0.1, 2018-11-29 00:33:40, GET, /HawkinsPhotography/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:33:40, GET, /HawkinsPhotography/static/css/custom.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-11-29 00:33:40, GET, /HawkinsPhotography/static/css/calendar.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-11-29 00:33:40, GET, /HawkinsPhotography/static/css/web2py.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-11-29 00:33:40, GET, /HawkinsPhotography/static/css/myapp.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-11-29 00:33:40, GET, /HawkinsPhotography/static/js/jquery.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-11-29 00:33:40, GET, /HawkinsPhotography/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-29 00:33:40, GET, /HawkinsPhotography/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-29 00:33:40, GET, /HawkinsPhotography/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:33:40, GET, /HawkinsPhotography/static/js/marked.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:33:40, GET, /HawkinsPhotography/static/images/milkyway.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:33:40, GET, /HawkinsPhotography/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:33:40, GET, /HawkinsPhotography/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:33:41, GET, /favicon.ico, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-11-29 00:36:59, GET, /, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-11-29 00:36:59, GET, /HawkinsPhotography/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:36:59, GET, /HawkinsPhotography/static/css/custom.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-11-29 00:36:59, GET, /HawkinsPhotography/static/css/calendar.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-11-29 00:36:59, GET, /HawkinsPhotography/static/js/jquery.js, HTTP/1.1, 200, 0.005000

127.0.0.1, 2018-11-29 00:36:59, GET, /HawkinsPhotography/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-29 00:36:59, GET, /HawkinsPhotography/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-29 00:36:59, GET, /HawkinsPhotography/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:36:59, GET, /HawkinsPhotography/static/js/marked.min.js, HTTP/1.1, 200, 0.002000
0
127.0.0.1, 2018-11-29 00:36:59, GET, /HawkinsPhotography/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-29 00:36:59, GET, /HawkinsPhotography/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
